control	0
yaw_angle	1
cmd_type	0
pose_x	pose_y	pose_z	heading
0.000000	-1.000000	0.000000	1.570796
0.000000	-1.000000	1.000000	1.570796
-0.031411	-0.999507	1.000000	1.539380
-0.062791	-0.998027	1.000000	1.507964
-0.094108	-0.995562	1.000000	1.476549
-0.125333	-0.992115	1.000000	1.445133
-0.156434	-0.987688	1.000000	1.413717
-0.187381	-0.982287	1.000000	1.382301
-0.218143	-0.975917	1.000000	1.350885
-0.248690	-0.968583	1.000000	1.319469
-0.278991	-0.960294	1.000000	1.288053
-0.309017	-0.951057	1.000000	1.256637
-0.338738	-0.940881	1.000000	1.225221
-0.368125	-0.929776	1.000000	1.193805
-0.397148	-0.917755	1.000000	1.162389
-0.425779	-0.904827	1.000000	1.130973
-0.453990	-0.891007	1.000000	1.099557
-0.481754	-0.876307	1.000000	1.068142
-0.509041	-0.860742	1.000000	1.036726
-0.535827	-0.844328	1.000000	1.005310
-0.562083	-0.827081	1.000000	0.973894
-0.587785	-0.809017	1.000000	0.942478
-0.612907	-0.790155	1.000000	0.911062
-0.637424	-0.770513	1.000000	0.879646
-0.661312	-0.750111	1.000000	0.848230
-0.684547	-0.728969	1.000000	0.816814
-0.707107	-0.707107	1.000000	0.785398
-0.728969	-0.684547	1.000000	0.753982
-0.750111	-0.661312	1.000000	0.722566
-0.770513	-0.637424	1.000000	0.691150
-0.790155	-0.612907	1.000000	0.659734
-0.809017	-0.587785	1.000000	0.628319
-0.827081	-0.562083	1.000000	0.596903
-0.844328	-0.535827	1.000000	0.565487
-0.860742	-0.509041	1.000000	0.534071
-0.876307	-0.481754	1.000000	0.502655
-0.891007	-0.453990	1.000000	0.471239
-0.904827	-0.425779	1.000000	0.439823
-0.917755	-0.397148	1.000000	0.408407
-0.929776	-0.368125	1.000000	0.376991
-0.940881	-0.338738	1.000000	0.345575
-0.951057	-0.309017	1.000000	0.314159
-0.960294	-0.278991	1.000000	0.282743
-0.968583	-0.248690	1.000000	0.251327
-0.975917	-0.218143	1.000000	0.219911
-0.982287	-0.187381	1.000000	0.188496
-0.987688	-0.156434	1.000000	0.157080
-0.992115	-0.125333	1.000000	0.125664
-0.995562	-0.094108	1.000000	0.094248
-0.998027	-0.062791	1.000000	0.062832
-0.999507	-0.031411	1.000000	0.031416
-1.000000	0.000000	1.000000	-0.000000
