x,y,z,yaw
5.0,0.125,0,1.5707963267948966
5.0,0.125,3.0,1.5707963267948966
5.0,0.25,3.0,1.5707963267948966
5.0,0.375,3.0,1.5707963267948966
5.0,0.5,3.0,1.5707963267948966
5.0,0.625,3.0,1.5707963267948966
5.0,0.75,3.0,1.5707963267948966
5.0,0.875,3.0,1.5707963267948966
5.0,1.0,3.0,1.5707963267948966
5.0,1.125,3.0,1.5707963267948966
5.0,1.25,3.0,1.5707963267948966
5.0,1.375,3.0,1.5707963267948966
5.0,1.5,3.0,1.5707963267948966
5.0,1.625,3.0,1.5707963267948966
5.0,1.75,3.0,1.5707963267948966
5.0,1.875,3.0,1.5707963267948966
5.0,2.0,3.0,1.5707963267948966
5.0,2.125,3.0,1.5707963267948966
5.0,2.25,3.0,1.5707963267948966
5.0,2.375,3.0,1.5707963267948966
5.0,2.5,3.0,1.5707963267948966
5.0,2.625,3.0,1.5707963267948966
5.0,2.75,3.0,1.5707963267948966
5.0,2.875,3.0,1.5707963267948966
5.0,3.0,3.0,1.5707963267948966
5.0,3.125,3.0,1.5707963267948966
5.0,3.25,3.0,1.5707963267948966
5.0,3.375,3.0,1.5707963267948966
5.0,3.5,3.0,1.5707963267948966
5.0,3.625,3.0,1.5707963267948966
5.0,3.75,3.0,1.5707963267948966
5.0,3.875,3.0,1.5707963267948966
5.0,4.0,3.0,1.5707963267948966
5.0,4.125,3.0,1.5707963267948966
5.0,4.25,3.0,1.5707963267948966
5.0,4.375,3.0,1.5707963267948966
5.0,4.5,3.0,1.5707963267948966
5.0,4.625,3.0,1.5707963267948966
5.0,4.75,3.0,1.5707963267948966
5.0,4.875,3.0,1.5707963267948966
5.0,5.0,3.0,1.5707963267948966
5.0,5.0,3.0,1.413716694115407
5.0,5.0,3.0,1.2566370614359172
5.0,5.0,3.0,1.0995574287564276
5.0,5.0,3.0,0.9424777960769379
5.0,5.0,3.0,0.7853981633974483
5.0,5.0,3.0,0.6283185307179586
5.0,5.0,3.0,0.47123889803846897
5.0,5.0,3.0,0.3141592653589793
5.0,5.0,3.0,0.15707963267948966
5.0,5.0,3.0,0.0
5.125,5.0,3.0,0.0
5.25,5.0,3.0,0.0
5.375,5.0,3.0,0.0
5.5,5.0,3.0,0.0
5.625,5.0,3.0,0.0
5.75,5.0,3.0,0.0
5.875,5.0,3.0,0.0
6.0,5.0,3.0,0.0
6.125,5.0,3.0,0.0
6.25,5.0,3.0,0.0
6.375,5.0,3.0,0.0
6.5,5.0,3.0,0.0
6.625,5.0,3.0,0.0
6.75,5.0,3.0,0.0
6.875,5.0,3.0,0.0
7.0,5.0,3.0,0.0
7.125,5.0,3.0,0.0
7.25,5.0,3.0,0.0
7.375,5.0,3.0,0.0
7.5,5.0,3.0,0.0
7.625,5.0,3.0,0.0
7.75,5.0,3.0,0.0
7.875,5.0,3.0,0.0
8.0,5.0,3.0,0.0
8.125,5.0,3.0,0.0
8.25,5.0,3.0,0.0
