control	0
yaw_angle	1
cmd_type	0
pose_x	pose_y	pose_z	heading
0.000000	5.000000	0.000000	-1.570796
0.000000	5.000000	9.988333	-1.570796
0.002467	5.157054	9.976667	-1.539380
0.009866	5.313953	9.965000	-1.507964
0.022190	5.470542	9.953333	-1.476549
0.039426	5.626666	9.941667	-1.445133
0.061558	5.782172	9.930000	-1.413717
0.088564	5.936907	9.918333	-1.382301
0.120416	6.090716	9.906667	-1.350885
0.157084	6.243449	9.895000	-1.319469
0.198532	6.394956	9.883333	-1.288053
0.244717	6.545085	9.871667	-1.256637
0.295596	6.693690	9.860000	-1.225221
0.351118	6.840623	9.848333	-1.193805
0.411227	6.985739	9.836667	-1.162389
0.475865	7.128896	9.825000	-1.130973
0.544967	7.269952	9.813333	-1.099557
0.618467	7.408768	9.801667	-1.068142
0.696290	7.545207	9.790000	-1.036726
0.778360	7.679134	9.778333	-1.005310
0.864597	7.810417	9.766667	-0.973894
0.954915	7.938926	9.755000	-0.942478
1.049225	8.064535	9.743333	-0.911062
1.147434	8.187120	9.731667	-0.879646
1.249445	8.306559	9.720000	-0.848230
1.355157	8.422736	9.708333	-0.816814
1.464466	8.535534	9.696667	-0.785398
1.577264	8.644843	9.685000	-0.753982
1.693441	8.750555	9.673333	-0.722566
1.812880	8.852566	9.661667	-0.691150
1.935465	8.950775	9.650000	-0.659734
2.061074	9.045085	9.638333	-0.628319
2.189583	9.135403	9.626667	-0.596903
2.320866	9.221640	9.615000	-0.565487
2.454793	9.303710	9.603333	-0.534071
2.591232	9.381533	9.591667	-0.502655
2.730048	9.455033	9.580000	-0.471239
2.871104	9.524135	9.568333	-0.439823
3.014261	9.588773	9.556667	-0.408407
3.159377	9.648882	9.545000	-0.376991
3.306310	9.704404	9.533333	-0.345575
3.454915	9.755283	9.521667	-0.314159
3.605044	9.801468	9.510000	-0.282743
3.756551	9.842916	9.498333	-0.251327
3.909284	9.879584	9.486667	-0.219911
4.063093	9.911436	9.475000	-0.188496
4.217828	9.938442	9.463333	-0.157080
4.373334	9.960574	9.451667	-0.125664
4.529458	9.977810	9.440000	-0.094248
4.686047	9.990134	9.428333	-0.062832
4.842946	9.997533	9.416667	-0.031416
5.000000	10.000000	9.405000	0.000000
5.157054	9.997533	9.393333	0.031416
5.313953	9.990134	9.381667	0.062832
5.470542	9.977810	9.370000	0.094248
5.626666	9.960574	9.358333	0.125664
5.782172	9.938442	9.346667	0.157080
5.936907	9.911436	9.335000	0.188496
6.090716	9.879584	9.323333	0.219911
6.243449	9.842916	9.311667	0.251327
6.394956	9.801468	9.300000	0.282743
6.545085	9.755283	9.288333	0.314159
6.693690	9.704404	9.276667	0.345575
6.840623	9.648882	9.265000	0.376991
6.985739	9.588773	9.253333	0.408407
7.128896	9.524135	9.241667	0.439823
7.269952	9.455033	9.230000	0.471239
7.408768	9.381533	9.218333	0.502655
7.545207	9.303710	9.206667	0.534071
7.679134	9.221640	9.195000	0.565487
7.810417	9.135403	9.183333	0.596903
7.938926	9.045085	9.171667	0.628319
8.064535	8.950775	9.160000	0.659734
8.187120	8.852566	9.148333	0.691150
8.306559	8.750555	9.136667	0.722566
8.422736	8.644843	9.125000	0.753982
8.535534	8.535534	9.113333	0.785398
8.644843	8.422736	9.101667	0.816814
8.750555	8.306559	9.090000	0.848230
8.852566	8.187120	9.078333	0.879646
8.950775	8.064535	9.066667	0.911062
9.045085	7.938926	9.055000	0.942478
9.135403	7.810417	9.043333	0.973894
9.221640	7.679134	9.031667	1.005310
9.303710	7.545207	9.020000	1.036726
9.381533	7.408768	9.008333	1.068142
9.455033	7.269952	8.996667	1.099557
9.524135	7.128896	8.985000	1.130973
9.588773	6.985739	8.973333	1.162389
9.648882	6.840623	8.961667	1.193805
9.704404	6.693690	8.950000	1.225221
9.755283	6.545085	8.938333	1.256637
9.801468	6.394956	8.926667	1.288053
9.842916	6.243449	8.915000	1.319469
9.879584	6.090716	8.903333	1.350885
9.911436	5.936907	8.891667	1.382301
9.938442	5.782172	8.880000	1.413717
9.960574	5.626666	8.868333	1.445133
9.977810	5.470542	8.856667	1.476549
9.990134	5.313953	8.845000	1.507964
9.997533	5.157054	8.833333	1.539380
10.000000	5.000000	8.821667	1.570796
9.997533	4.842946	8.810000	1.602212
9.990134	4.686047	8.798333	1.633628
9.977810	4.529458	8.786667	1.665044
9.960574	4.373334	8.775000	1.696460
9.938442	4.217828	8.763333	1.727876
