x,y,z,yaw
10.0,-0.125,0,-1.5707963267948966
10.0,-0.125,3.0,-1.5707963267948966
10.0,-0.25,3.0,-1.5707963267948966
10.0,-0.375,3.0,-1.5707963267948966
10.0,-0.5,3.0,-1.5707963267948966
10.0,-0.625,3.0,-1.5707963267948966
10.0,-0.75,3.0,-1.5707963267948966
10.0,-0.875,3.0,-1.5707963267948966
10.0,-1.0,3.0,-1.5707963267948966
10.0,-1.125,3.0,-1.5707963267948966
10.0,-1.25,3.0,-1.5707963267948966
10.0,-1.375,3.0,-1.5707963267948966
10.0,-1.5,3.0,-1.5707963267948966
10.0,-1.625,3.0,-1.5707963267948966
10.0,-1.75,3.0,-1.5707963267948966
10.0,-1.875,3.0,-1.5707963267948966
10.0,-2.0,3.0,-1.5707963267948966
10.0,-2.125,3.0,-1.5707963267948966
10.0,-2.25,3.0,-1.5707963267948966
10.0,-2.375,3.0,-1.5707963267948966
10.0,-2.5,3.0,-1.5707963267948966
10.0,-2.625,3.0,-1.5707963267948966
10.0,-2.75,3.0,-1.5707963267948966
10.0,-2.875,3.0,-1.5707963267948966
10.0,-3.0,3.0,-1.5707963267948966
10.0,-3.125,3.0,-1.5707963267948966
10.0,-3.25,3.0,-1.5707963267948966
10.0,-3.375,3.0,-1.5707963267948966
10.0,-3.5,3.0,-1.5707963267948966
10.0,-3.625,3.0,-1.5707963267948966
10.0,-3.75,3.0,-1.5707963267948966
10.0,-3.875,3.0,-1.5707963267948966
10.0,-4.0,3.0,-1.5707963267948966
10.0,-4.125,3.0,-1.5707963267948966
10.0,-4.25,3.0,-1.5707963267948966
10.0,-4.375,3.0,-1.5707963267948966
10.0,-4.5,3.0,-1.5707963267948966
10.0,-4.625,3.0,-1.5707963267948966
10.0,-4.75,3.0,-1.5707963267948966
10.0,-4.875,3.0,-1.5707963267948966
10.0,-5.0,3.0,-1.5707963267948966
10.0,-5.0,3.0,-1.7278759594743862
10.0,-5.0,3.0,-1.8849555921538759
10.0,-5.0,3.0,-2.0420352248333655
10.0,-5.0,3.0,-2.199114857512855
10.0,-5.0,3.0,-2.356194490192345
10.0,-5.0,3.0,-2.5132741228718345
10.0,-5.0,3.0,-2.670353755551324
10.0,-5.0,3.0,-2.827433388230814
10.0,-5.0,3.0,-2.9845130209103035
10.0,-5.0,3.0,-3.141592653589793
9.875,-5.0,3.0,-3.141592653589793
9.75,-5.0,3.0,-3.141592653589793
9.625,-5.0,3.0,-3.141592653589793
9.5,-5.0,3.0,-3.141592653589793
9.375,-5.0,3.0,-3.141592653589793
9.25,-5.0,3.0,-3.141592653589793
9.125,-5.0,3.0,-3.141592653589793
9.0,-5.0,3.0,-3.141592653589793
8.875,-5.0,3.0,-3.141592653589793
8.75,-5.0,3.0,-3.141592653589793
8.625,-5.0,3.0,-3.141592653589793
8.5,-5.0,3.0,-3.141592653589793
8.375,-5.0,3.0,-3.141592653589793
8.25,-5.0,3.0,-3.141592653589793
8.125,-5.0,3.0,-3.141592653589793
8.0,-5.0,3.0,-3.141592653589793
7.875,-5.0,3.0,-3.141592653589793
7.75,-5.0,3.0,-3.141592653589793
7.625,-5.0,3.0,-3.141592653589793
7.5,-5.0,3.0,-3.141592653589793
7.375,-5.0,3.0,-3.141592653589793
7.25,-5.0,3.0,-3.141592653589793
7.125,-5.0,3.0,-3.141592653589793
7.0,-5.0,3.0,-3.141592653589793
6.875,-5.0,3.0,-3.141592653589793
6.75,-5.0,3.0,-3.141592653589793
6.625,-5.0,3.0,-3.141592653589793
6.5,-5.0,3.0,-3.141592653589793
6.375,-5.0,3.0,-3.141592653589793
6.25,-5.0,3.0,-3.141592653589793
6.125,-5.0,3.0,-3.141592653589793
6.0,-5.0,3.0,-3.141592653589793
5.875,-5.0,3.0,-3.141592653589793
5.75,-5.0,3.0,-3.141592653589793
5.625,-5.0,3.0,-3.141592653589793
5.5,-5.0,3.0,-3.141592653589793
5.375,-5.0,3.0,-3.141592653589793
5.25,-5.0,3.0,-3.141592653589793
5.125,-5.0,3.0,-3.141592653589793
5.0,-5.0,3.0,-3.141592653589793
5.0,-5.0,3.0,2.9845130209103035
5.0,-5.0,3.0,2.827433388230814
5.0,-5.0,3.0,2.670353755551324
5.0,-5.0,3.0,2.5132741228718345
5.0,-5.0,3.0,2.356194490192345
5.0,-5.0,3.0,2.199114857512855
5.0,-5.0,3.0,2.0420352248333655
5.0,-5.0,3.0,1.8849555921538759
5.0,-5.0,3.0,1.7278759594743862
5.0,-5.0,3.0,1.5707963267948966
5.0,-4.875,3.0,1.5707963267948966
5.0,-4.75,3.0,1.5707963267948966
5.0,-4.625,3.0,1.5707963267948966
5.0,-4.5,3.0,1.5707963267948966
5.0,-4.375,3.0,1.5707963267948966
5.0,-4.25,3.0,1.5707963267948966
5.0,-4.125,3.0,1.5707963267948966
5.0,-4.0,3.0,1.5707963267948966
5.0,-3.875,3.0,1.5707963267948966
5.0,-3.75,3.0,1.5707963267948966
5.0,-3.625,3.0,1.5707963267948966
5.0,-3.5,3.0,1.5707963267948966
5.0,-3.375,3.0,1.5707963267948966
5.0,-3.25,3.0,1.5707963267948966
5.0,-3.125,3.0,1.5707963267948966
