control	0
yaw_angle	1
cmd_type	0
pose_x	pose_y	pose_z	heading
0.000000	-4.000000	0.000000	-1.507964
0.000000	-4.000000	3.005000	-1.507964
0.188372	-4.031416	3.010000	-1.445133
0.376000	-4.062832	3.015000	-1.382301
0.562144	-4.094248	3.020000	-1.319469
0.746070	-4.125664	3.025000	-1.256637
0.927051	-4.157080	3.030000	-1.193805
1.104374	-4.188496	3.035000	-1.130973
1.277338	-4.219911	3.040000	-1.068142
1.445261	-4.251327	3.045000	-1.005310
1.607480	-4.282743	3.050000	-0.942478
1.763356	-4.314159	3.055000	-0.879646
1.912272	-4.345575	3.060000	-0.816814
2.053641	-4.376991	3.065000	-0.753982
2.186906	-4.408407	3.070000	-0.691150
2.311540	-4.439823	3.075000	-0.628319
2.427051	-4.471239	3.080000	-0.565487
2.532984	-4.502655	3.085000	-0.502655
2.628920	-4.534071	3.090000	-0.439823
2.714481	-4.565487	3.095000	-0.376991
2.789329	-4.596903	3.100000	-0.314159
2.853170	-4.628319	3.105000	-0.251327
2.905749	-4.659734	3.110000	-0.188496
2.946862	-4.691150	3.115000	-0.125664
2.976344	-4.722566	3.120000	-0.062832
2.994080	-4.753982	3.125000	0.000000
3.000000	-4.785398	3.130000	0.062832
2.994080	-4.816814	3.135000	0.125664
2.976344	-4.848230	3.140000	0.188496
2.946862	-4.879646	3.145000	0.251327
2.905749	-4.911062	3.150000	0.314159
2.853170	-4.942478	3.155000	0.376991
2.789329	-4.973894	3.160000	0.439823
2.714481	-5.005310	3.165000	0.502655
2.628920	-5.036726	3.170000	0.565487
2.532984	-5.068142	3.175000	0.628319
2.427051	-5.099557	3.180000	0.691150
2.311540	-5.130973	3.185000	0.753982
2.186906	-5.162389	3.190000	0.816814
2.053641	-5.193805	3.195000	0.879646
1.912272	-5.225221	3.200000	0.942478
1.763356	-5.256637	3.205000	1.005310
1.607480	-5.288053	3.210000	1.068142
1.445261	-5.319469	3.215000	1.130973
1.277338	-5.350885	3.220000	1.193805
1.104374	-5.382301	3.225000	1.256637
0.927051	-5.413717	3.230000	1.319469
0.746070	-5.445133	3.235000	1.382301
0.562144	-5.476549	3.240000	1.445133
0.376000	-5.507964	3.245000	1.507964
0.188372	-5.539380	3.250000	1.570796
-0.000000	-5.570796	3.255000	1.633628
-0.188372	-5.602212	3.260000	1.696460
-0.376000	-5.633628	3.265000	1.759292
-0.562144	-5.665044	3.270000	1.822124
-0.746070	-5.696460	3.275000	1.884956
-0.927051	-5.727876	3.280000	1.947787
-1.104374	-5.759292	3.285000	2.010619
-1.277338	-5.790708	3.290000	2.073451
-1.445261	-5.822124	3.295000	2.136283
