control	0
yaw_angle	1
cmd_type	0
pose_x	pose_y	pose_z	heading
4.000000	0.000000	0.000000	0.062832
4.000000	0.000000	3.005000	0.062832
4.031416	0.188372	3.010000	0.125664
4.062832	0.376000	3.015000	0.188496
4.094248	0.562144	3.020000	0.251327
4.125664	0.746070	3.025000	0.314159
4.157080	0.927051	3.030000	0.376991
4.188496	1.104374	3.035000	0.439823
4.219911	1.277338	3.040000	0.502655
4.251327	1.445261	3.045000	0.565487
4.282743	1.607480	3.050000	0.628319
4.314159	1.763356	3.055000	0.691150
4.345575	1.912272	3.060000	0.753982
4.376991	2.053641	3.065000	0.816814
4.408407	2.186906	3.070000	0.879646
4.439823	2.311540	3.075000	0.942478
4.471239	2.427051	3.080000	1.005310
4.502655	2.532984	3.085000	1.068142
4.534071	2.628920	3.090000	1.130973
4.565487	2.714481	3.095000	1.193805
4.596903	2.789329	3.100000	1.256637
4.628319	2.853170	3.105000	1.319469
4.659734	2.905749	3.110000	1.382301
4.691150	2.946862	3.115000	1.445133
4.722566	2.976344	3.120000	1.507964
4.753982	2.994080	3.125000	1.570796
4.785398	3.000000	3.130000	1.633628
4.816814	2.994080	3.135000	1.696460
4.848230	2.976344	3.140000	1.759292
4.879646	2.946862	3.145000	1.822124
4.911062	2.905749	3.150000	1.884956
4.942478	2.853170	3.155000	1.947787
4.973894	2.789329	3.160000	2.010619
5.005310	2.714481	3.165000	2.073451
5.036726	2.628920	3.170000	2.136283
5.068142	2.532984	3.175000	2.199115
5.099557	2.427051	3.180000	2.261947
5.130973	2.311540	3.185000	2.324779
5.162389	2.186906	3.190000	2.387610
5.193805	2.053641	3.195000	2.450442
5.225221	1.912272	3.200000	2.513274
5.256637	1.763356	3.205000	2.576106
5.288053	1.607480	3.210000	2.638938
5.319469	1.445261	3.215000	2.701770
5.350885	1.277338	3.220000	2.764602
5.382301	1.104374	3.225000	2.827433
5.413717	0.927051	3.230000	2.890265
5.445133	0.746070	3.235000	2.953097
5.476549	0.562144	3.240000	3.015929
5.507964	0.376000	3.245000	3.078761
5.539380	0.188372	3.250000	3.141593
5.570796	-0.000000	3.255000	3.204425
5.602212	-0.188372	3.260000	3.267256
5.633628	-0.376000	3.265000	3.330088
5.665044	-0.562144	3.270000	3.392920
5.696460	-0.746070	3.275000	3.455752
5.727876	-0.927051	3.280000	3.518584
5.759292	-1.104374	3.285000	3.581416
5.790708	-1.277338	3.290000	3.644247
5.822124	-1.445261	3.295000	3.707079
5.853540	-1.607480	3.300000	3.769911
5.884956	-1.763356	3.305000	3.832743
5.916372	-1.912272	3.310000	3.895575
5.947787	-2.053641	3.315000	3.958407
5.979203	-2.186906	3.320000	4.021239
6.010619	-2.311540	3.325000	4.084070
6.042035	-2.427051	3.330000	4.146902
6.073451	-2.532984	3.335000	4.209734
6.104867	-2.628920	3.340000	4.272566
6.136283	-2.714481	3.345000	4.335398
6.167699	-2.789329	3.350000	4.398230
6.199115	-2.853170	3.355000	4.461062
6.230531	-2.905749	3.360000	4.523893
6.261947	-2.946862	3.365000	4.586725
6.293363	-2.976344	3.370000	4.649557
6.324779	-2.994080	3.375000	4.712389
6.356194	-3.000000	3.380000	4.775221
6.387610	-2.994080	3.385000	4.838053
6.419026	-2.976344	3.390000	4.900885
6.450442	-2.946862	3.395000	4.963716
6.481858	-2.905749	3.400000	5.026548
6.513274	-2.853170	3.405000	5.089380
6.544690	-2.789329	3.410000	5.152212
6.576106	-2.714481	3.415000	5.215044
6.607522	-2.628920	3.420000	5.277876
6.638938	-2.532984	3.425000	5.340708
6.670354	-2.427051	3.430000	5.403539
6.701770	-2.311540	3.435000	5.466371
6.733186	-2.186906	3.440000	5.529203
6.764602	-2.053641	3.445000	5.592035
6.796017	-1.912272	3.450000	5.654867
6.827433	-1.763356	3.455000	5.717699
6.858849	-1.607480	3.460000	5.780530
6.890265	-1.445261	3.465000	5.843362
6.921681	-1.277338	3.470000	5.906194
6.953097	-1.104374	3.475000	5.969026
6.984513	-0.927051	3.480000	6.031858
7.015929	-0.746070	3.485000	6.094690
7.047345	-0.562144	3.490000	6.157522
7.078761	-0.376000	3.495000	6.220353
7.110177	-0.188372	3.500000	6.283185
7.141593	0.000000	3.505000	6.346017
7.173009	0.188372	3.510000	6.408849
7.204425	0.376000	3.515000	6.471681
7.235840	0.562144	3.520000	6.534513
7.267256	0.746070	3.525000	6.597345
7.298672	0.927051	3.530000	6.660176
7.330088	1.104374	3.535000	6.723008
7.361504	1.277338	3.540000	6.785840
7.392920	1.445261	3.545000	6.848672
7.424336	1.607480	3.550000	6.911504
7.455752	1.763356	3.555000	6.974336
7.487168	1.912272	3.560000	7.037168
7.518584	2.053641	3.565000	7.099999
7.550000	2.186906	3.570000	7.162831
7.581416	2.311540	3.575000	7.225663
7.612832	2.427051	3.580000	7.288495
7.644247	2.532984	3.585000	7.351327
7.675663	2.628920	3.590000	7.414159
7.707079	2.714481	3.595000	7.476991
7.738495	2.789329	3.600000	7.539822
7.769911	2.853170	3.605000	7.602654
7.801327	2.905749	3.610000	7.665486
7.832743	2.946862	3.615000	7.728318
7.864159	2.976344	3.620000	7.791150
7.895575	2.994080	3.625000	7.853982
7.926991	3.000000	3.630000	7.916813
7.958407	2.994080	3.635000	7.979645
7.989823	2.976344	3.640000	8.042477
8.021239	2.946862	3.645000	8.105309
8.052655	2.905749	3.650000	8.168141
8.084070	2.853170	3.655000	8.230973
8.115486	2.789329	3.660000	8.293805
8.146902	2.714481	3.665000	8.356636
8.178318	2.628920	3.670000	8.419468
8.209734	2.532984	3.675000	8.482300
8.241150	2.427051	3.680000	8.545132
8.272566	2.311540	3.685000	8.607964
8.303982	2.186906	3.690000	8.670796
8.335398	2.053641	3.695000	8.733628
8.366814	1.912272	3.700000	8.796459
8.398230	1.763356	3.705000	8.859291
8.429646	1.607480	3.710000	8.922123
8.461062	1.445261	3.715000	8.984955
8.492477	1.277338	3.720000	9.047787
8.523893	1.104374	3.725000	9.110619
8.555309	0.927051	3.730000	9.173451
8.586725	0.746070	3.735000	9.236282
8.618141	0.562144	3.740000	9.299114
8.649557	0.376000	3.745000	9.361946
8.680973	0.188372	3.750000	9.424778
8.712389	0.000000	3.755000	9.487610
8.743805	-0.188372	3.760000	9.550442
8.775221	-0.376000	3.765000	9.613274
8.806637	-0.562144	3.770000	9.676105
8.838053	-0.746070	3.775000	9.738937
8.869469	-0.927051	3.780000	9.801769
8.900885	-1.104374	3.785000	9.864601
8.932300	-1.277338	3.790000	9.927433
8.963716	-1.445261	3.795000	9.990265
8.995132	-1.607480	3.800000	10.053096
9.026548	-1.763356	3.805000	10.115928
9.057964	-1.912272	3.810000	10.178760
9.089380	-2.053641	3.815000	10.241592
9.120796	-2.186906	3.820000	10.304424
9.152212	-2.311540	3.825000	10.367256
9.183628	-2.427051	3.830000	10.430088
9.215044	-2.532984	3.835000	10.492919
9.246460	-2.628920	3.840000	10.555751
9.277876	-2.714481	3.845000	10.618583
9.309292	-2.789329	3.850000	10.681415
