control	0
yaw_angle	1
cmd_type	0
pose_x	pose_y	pose_z	heading
0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	3.008333	0.000000
0.094232	-0.001480	3.016667	0.031416
0.188372	-0.005920	3.025000	0.062832
0.282325	-0.013314	3.033333	0.094248
0.376000	-0.023656	3.041667	0.125664
0.469303	-0.036935	3.050000	0.157080
0.562144	-0.053138	3.058333	0.188496
0.654430	-0.072250	3.066667	0.219911
0.746070	-0.094251	3.075000	0.251327
0.836973	-0.119119	3.083333	0.282743
0.927051	-0.146830	3.091667	0.314159
1.016214	-0.177358	3.100000	0.345575
1.104374	-0.210671	3.108333	0.376991
1.191444	-0.246736	3.116667	0.408407
1.277338	-0.285519	3.125000	0.439823
1.361971	-0.326980	3.133333	0.471239
1.445261	-0.371080	3.141667	0.502655
1.527124	-0.417774	3.150000	0.534071
1.607480	-0.467016	3.158333	0.565487
1.686250	-0.518758	3.166667	0.596903
1.763356	-0.572949	3.175000	0.628319
1.838721	-0.629535	3.183333	0.659734
1.912272	-0.688460	3.191667	0.691150
1.983936	-0.749667	3.200000	0.722566
2.053641	-0.813094	3.208333	0.753982
2.121320	-0.878680	3.216667	0.785398
2.186906	-0.946359	3.225000	0.816814
2.250333	-1.016064	3.233333	0.848230
2.311540	-1.087728	3.241667	0.879646
2.370465	-1.161279	3.250000	0.911062
2.427051	-1.236644	3.258333	0.942478
2.481242	-1.313750	3.266667	0.973894
2.532984	-1.392520	3.275000	1.005310
2.582226	-1.472876	3.283333	1.036726
2.628920	-1.554739	3.291667	1.068142
2.673020	-1.638029	3.300000	1.099557
2.714481	-1.722662	3.308333	1.130973
2.753264	-1.808556	3.316667	1.162389
2.789329	-1.895626	3.325000	1.193805
2.822642	-1.983786	3.333333	1.225221
2.853170	-2.072949	3.341667	1.256637
2.880881	-2.163027	3.350000	1.288053
2.905749	-2.253930	3.358333	1.319469
2.927750	-2.345570	3.366667	1.350885
2.946862	-2.437856	3.375000	1.382301
2.963065	-2.530697	3.383333	1.413717
2.976344	-2.624000	3.391667	1.445133
2.986686	-2.717675	3.400000	1.476549
2.994080	-2.811628	3.408333	1.507964
2.998520	-2.905768	3.416667	1.539380
3.000000	-3.000000	3.425000	1.570796
2.998520	-3.094232	3.433333	1.602212
2.994080	-3.188372	3.441667	1.633628
2.986686	-3.282325	3.450000	1.665044
2.976344	-3.376000	3.458333	1.696460
2.963065	-3.469303	3.466667	1.727876
2.946862	-3.562144	3.475000	1.759292
2.927750	-3.654430	3.483333	1.790708
2.905749	-3.746070	3.491667	1.822124
2.880881	-3.836973	3.500000	1.853540
2.853170	-3.927051	3.508333	1.884956
2.822642	-4.016214	3.516667	1.916372
2.789329	-4.104374	3.525000	1.947787
2.753264	-4.191444	3.533333	1.979203
2.714481	-4.277338	3.541667	2.010619
2.673020	-4.361971	3.550000	2.042035
2.628920	-4.445261	3.558333	2.073451
2.582226	-4.527124	3.566667	2.104867
2.532984	-4.607480	3.575000	2.136283
2.481242	-4.686250	3.583333	2.167699
2.427051	-4.763356	3.591667	2.199115
2.370465	-4.838721	3.600000	2.230531
2.311540	-4.912272	3.608333	2.261947
2.250333	-4.983936	3.616667	2.293363
2.186906	-5.053641	3.625000	2.324779
2.121320	-5.121320	3.633333	2.356194
2.053641	-5.186906	3.641667	2.387610
1.983936	-5.250333	3.650000	2.419026
1.912272	-5.311540	3.658333	2.450442
1.838721	-5.370465	3.666667	2.481858
1.763356	-5.427051	3.675000	2.513274
1.686250	-5.481242	3.683333	2.544690
1.607480	-5.532984	3.691667	2.576106
1.527124	-5.582226	3.700000	2.607522
1.445261	-5.628920	3.708333	2.638938
1.361971	-5.673020	3.716667	2.670354
1.277338	-5.714481	3.725000	2.701770
1.191444	-5.753264	3.733333	2.733186
1.104374	-5.789329	3.741667	2.764602
1.016214	-5.822642	3.750000	2.796017
0.927051	-5.853170	3.758333	2.827433
0.836973	-5.880881	3.766667	2.858849
0.746070	-5.905749	3.775000	2.890265
0.654430	-5.927750	3.783333	2.921681
0.562144	-5.946862	3.791667	2.953097
0.469303	-5.963065	3.800000	2.984513
0.376000	-5.976344	3.808333	3.015929
0.282325	-5.986686	3.816667	3.047345
0.188372	-5.994080	3.825000	3.078761
0.094232	-5.998520	3.833333	3.110177
-0.000000	-6.000000	3.841667	-3.141593
-0.094232	-5.998520	3.850000	-3.110177
-0.188372	-5.994080	3.858333	-3.078761
-0.282325	-5.986686	3.866667	-3.047345
-0.376000	-5.976344	3.875000	-3.015929
-0.469303	-5.963065	3.883333	-2.984513
-0.562144	-5.946862	3.891667	-2.953097
-0.654430	-5.927750	3.900000	-2.921681
-0.746070	-5.905749	3.908333	-2.890265
-0.836973	-5.880881	3.916667	-2.858849
-0.927051	-5.853170	3.925000	-2.827433
-1.016214	-5.822642	3.933333	-2.796017
-1.104374	-5.789329	3.941667	-2.764602
-1.191444	-5.753264	3.950000	-2.733186
-1.277338	-5.714481	3.958333	-2.701770
-1.361971	-5.673020	3.966667	-2.670354
-1.445261	-5.628920	3.975000	-2.638938
-1.527124	-5.582226	3.983333	-2.607522
-1.607480	-5.532984	3.991667	-2.576106
-1.686250	-5.481242	4.000000	-2.544690
-1.763356	-5.427051	4.008333	-2.513274
-1.838721	-5.370465	4.016667	-2.481858
-1.912272	-5.311540	4.025000	-2.450442
-1.983936	-5.250333	4.033333	-2.419026
-2.053641	-5.186906	4.041667	-2.387610
-2.121320	-5.121320	4.050000	-2.356194
-2.186906	-5.053641	4.058333	-2.324779
-2.250333	-4.983936	4.066667	-2.293363
-2.311540	-4.912272	4.075000	-2.261947
-2.370465	-4.838721	4.083333	-2.230531
-2.427051	-4.763356	4.091667	-2.199115
-2.481242	-4.686250	4.100000	-2.167699
-2.532984	-4.607480	4.108333	-2.136283
-2.582226	-4.527124	4.116667	-2.104867
-2.628920	-4.445261	4.125000	-2.073451
-2.673020	-4.361971	4.133333	-2.042035
-2.714481	-4.277338	4.141667	-2.010619
-2.753264	-4.191444	4.150000	-1.979203
-2.789329	-4.104374	4.158333	-1.947787
-2.822642	-4.016214	4.166667	-1.916372
-2.853170	-3.927051	4.175000	-1.884956
-2.880881	-3.836973	4.183333	-1.853540
-2.905749	-3.746070	4.191667	-1.822124
-2.927750	-3.654430	4.200000	-1.790708
-2.946862	-3.562144	4.208333	-1.759292
-2.963065	-3.469303	4.216667	-1.727876
-2.976344	-3.376000	4.225000	-1.696460
-2.986686	-3.282325	4.233333	-1.665044
-2.994080	-3.188372	4.241667	-1.633628
-2.998520	-3.094232	4.250000	-1.602212
-3.000000	-3.000000	4.258333	-1.570796
-2.998520	-2.905768	4.266667	-1.539380
-2.994080	-2.811628	4.275000	-1.507964
-2.986686	-2.717675	4.283333	-1.476549
-2.976344	-2.624000	4.291667	-1.445133
-2.963065	-2.530697	4.300000	-1.413717
-2.946862	-2.437856	4.308333	-1.382301
-2.927750	-2.345570	4.316667	-1.350885
-2.905749	-2.253930	4.325000	-1.319469
-2.880881	-2.163027	4.333333	-1.288053
-2.853170	-2.072949	4.341667	-1.256637
-2.822642	-1.983786	4.350000	-1.225221
-2.789329	-1.895626	4.358333	-1.193805
-2.753264	-1.808556	4.366667	-1.162389
-2.714481	-1.722662	4.375000	-1.130973
-2.673020	-1.638029	4.383333	-1.099557
-2.628920	-1.554739	4.391667	-1.068142
