x,y,z,yaw
10.0,-0.25,0,-1.5707963267948966
10.0,-0.25,15.0,-1.5707963267948966
10.0,-0.5,15.0,-1.5707963267948966
10.0,-0.75,15.0,-1.5707963267948966
10.0,-1.0,15.0,-1.5707963267948966
10.0,-1.25,15.0,-1.5707963267948966
10.0,-1.5,15.0,-1.5707963267948966
10.0,-1.75,15.0,-1.5707963267948966
10.0,-2.0,15.0,-1.5707963267948966
10.0,-2.25,15.0,-1.5707963267948966
10.0,-2.5,15.0,-1.5707963267948966
10.0,-2.75,15.0,-1.5707963267948966
10.0,-3.0,15.0,-1.5707963267948966
10.0,-3.25,15.0,-1.5707963267948966
10.0,-3.5,15.0,-1.5707963267948966
10.0,-3.75,15.0,-1.5707963267948966
10.0,-4.0,15.0,-1.5707963267948966
10.0,-4.25,15.0,-1.5707963267948966
10.0,-4.5,15.0,-1.5707963267948966
10.0,-4.75,15.0,-1.5707963267948966
10.0,-5.0,15.0,-1.5707963267948966
10.0,-5.25,15.0,-1.5707963267948966
10.0,-5.5,15.0,-1.5707963267948966
10.0,-5.75,15.0,-1.5707963267948966
10.0,-6.0,15.0,-1.5707963267948966
10.0,-6.25,15.0,-1.5707963267948966
10.0,-6.5,15.0,-1.5707963267948966
10.0,-6.75,15.0,-1.5707963267948966
10.0,-7.0,15.0,-1.5707963267948966
10.0,-7.25,15.0,-1.5707963267948966
10.0,-7.5,15.0,-1.5707963267948966
10.0,-7.75,15.0,-1.5707963267948966
10.0,-8.0,15.0,-1.5707963267948966
10.0,-8.25,15.0,-1.5707963267948966
10.0,-8.5,15.0,-1.5707963267948966
10.0,-8.75,15.0,-1.5707963267948966
10.0,-9.0,15.0,-1.5707963267948966
10.0,-9.25,15.0,-1.5707963267948966
10.0,-9.5,15.0,-1.5707963267948966
10.0,-9.75,15.0,-1.5707963267948966
10.0,-10.0,15.0,-1.5707963267948966
10.0,-10.0,14.975,-1.7278759594743862
10.0,-10.0,14.95,-1.8849555921538759
10.0,-10.0,14.924999999999999,-2.0420352248333655
10.0,-10.0,14.899999999999999,-2.199114857512855
10.0,-10.0,14.874999999999998,-2.356194490192345
10.0,-10.0,14.849999999999998,-2.5132741228718345
10.0,-10.0,14.824999999999998,-2.670353755551324
10.0,-10.0,14.799999999999997,-2.827433388230814
10.0,-10.0,14.774999999999997,-2.9845130209103035
10.0,-10.0,14.749999999999996,-3.141592653589793
9.75,-10.0,14.749999999999996,-3.141592653589793
9.5,-10.0,14.749999999999996,-3.141592653589793
9.25,-10.0,14.749999999999996,-3.141592653589793
9.0,-10.0,14.749999999999996,-3.141592653589793
8.75,-10.0,14.749999999999996,-3.141592653589793
8.5,-10.0,14.749999999999996,-3.141592653589793
8.25,-10.0,14.749999999999996,-3.141592653589793
8.0,-10.0,14.749999999999996,-3.141592653589793
7.75,-10.0,14.749999999999996,-3.141592653589793
7.5,-10.0,14.749999999999996,-3.141592653589793
7.25,-10.0,14.749999999999996,-3.141592653589793
7.0,-10.0,14.749999999999996,-3.141592653589793
6.75,-10.0,14.749999999999996,-3.141592653589793
6.5,-10.0,14.749999999999996,-3.141592653589793
6.25,-10.0,14.749999999999996,-3.141592653589793
6.0,-10.0,14.749999999999996,-3.141592653589793
5.75,-10.0,14.749999999999996,-3.141592653589793
5.5,-10.0,14.749999999999996,-3.141592653589793
5.25,-10.0,14.749999999999996,-3.141592653589793
5.0,-10.0,14.749999999999996,-3.141592653589793
4.75,-10.0,14.749999999999996,-3.141592653589793
4.5,-10.0,14.749999999999996,-3.141592653589793
4.25,-10.0,14.749999999999996,-3.141592653589793
4.0,-10.0,14.749999999999996,-3.141592653589793
3.75,-10.0,14.749999999999996,-3.141592653589793
3.5,-10.0,14.749999999999996,-3.141592653589793
3.25,-10.0,14.749999999999996,-3.141592653589793
3.0,-10.0,14.749999999999996,-3.141592653589793
2.75,-10.0,14.749999999999996,-3.141592653589793
2.5,-10.0,14.749999999999996,-3.141592653589793
2.25,-10.0,14.749999999999996,-3.141592653589793
2.0,-10.0,14.749999999999996,-3.141592653589793
1.75,-10.0,14.749999999999996,-3.141592653589793
1.5,-10.0,14.749999999999996,-3.141592653589793
1.25,-10.0,14.749999999999996,-3.141592653589793
1.0,-10.0,14.749999999999996,-3.141592653589793
0.75,-10.0,14.749999999999996,-3.141592653589793
0.5,-10.0,14.749999999999996,-3.141592653589793
0.25,-10.0,14.749999999999996,-3.141592653589793
