x,y,z,yaw
2.5,2.625,0,1.5707963267948966
2.5,2.625,3.0,1.5707963267948966
2.5,2.75,3.0,1.5707963267948966
2.5,2.875,3.0,1.5707963267948966
2.5,3.0,3.0,1.5707963267948966
2.5,3.125,3.0,1.5707963267948966
2.5,3.25,3.0,1.5707963267948966
2.5,3.375,3.0,1.5707963267948966
2.5,3.5,3.0,1.5707963267948966
2.5,3.625,3.0,1.5707963267948966
2.5,3.75,3.0,1.5707963267948966
2.5,3.875,3.0,1.5707963267948966
2.5,4.0,3.0,1.5707963267948966
2.5,4.125,3.0,1.5707963267948966
2.5,4.25,3.0,1.5707963267948966
2.5,4.375,3.0,1.5707963267948966
2.5,4.5,3.0,1.5707963267948966
2.5,4.625,3.0,1.5707963267948966
2.5,4.75,3.0,1.5707963267948966
2.5,4.875,3.0,1.5707963267948966
2.5,5.0,3.0,1.5707963267948966
2.5,5.125,3.0,1.5707963267948966
2.5,5.25,3.0,1.5707963267948966
2.5,5.375,3.0,1.5707963267948966
2.5,5.5,3.0,1.5707963267948966
2.5,5.625,3.0,1.5707963267948966
2.5,5.75,3.0,1.5707963267948966
2.5,5.875,3.0,1.5707963267948966
2.5,6.0,3.0,1.5707963267948966
2.5,6.125,3.0,1.5707963267948966
2.5,6.25,3.0,1.5707963267948966
2.5,6.375,3.0,1.5707963267948966
2.5,6.5,3.0,1.5707963267948966
2.5,6.625,3.0,1.5707963267948966
2.5,6.75,3.0,1.5707963267948966
2.5,6.875,3.0,1.5707963267948966
2.5,7.0,3.0,1.5707963267948966
2.5,7.125,3.0,1.5707963267948966
2.5,7.25,3.0,1.5707963267948966
2.5,7.375,3.0,1.5707963267948966
2.5,7.5,3.0,1.5707963267948966
2.5,7.5,3.0,1.413716694115407
2.5,7.5,3.0,1.2566370614359172
2.5,7.5,3.0,1.0995574287564276
2.5,7.5,3.0,0.9424777960769379
2.5,7.5,3.0,0.7853981633974483
2.5,7.5,3.0,0.6283185307179586
2.5,7.5,3.0,0.47123889803846897
2.5,7.5,3.0,0.3141592653589793
2.5,7.5,3.0,0.15707963267948966
2.5,7.5,3.0,0.0
2.625,7.5,3.0,0.0
2.75,7.5,3.0,0.0
2.875,7.5,3.0,0.0
3.0,7.5,3.0,0.0
3.125,7.5,3.0,0.0
3.25,7.5,3.0,0.0
3.375,7.5,3.0,0.0
3.5,7.5,3.0,0.0
3.625,7.5,3.0,0.0
3.75,7.5,3.0,0.0
3.875,7.5,3.0,0.0
4.0,7.5,3.0,0.0
4.125,7.5,3.0,0.0
4.25,7.5,3.0,0.0
4.375,7.5,3.0,0.0
4.5,7.5,3.0,0.0
4.625,7.5,3.0,0.0
4.75,7.5,3.0,0.0
4.875,7.5,3.0,0.0
5.0,7.5,3.0,0.0
5.125,7.5,3.0,0.0
5.25,7.5,3.0,0.0
5.375,7.5,3.0,0.0
5.5,7.5,3.0,0.0
5.625,7.5,3.0,0.0
5.75,7.5,3.0,0.0
5.875,7.5,3.0,0.0
6.0,7.5,3.0,0.0
6.125,7.5,3.0,0.0
6.25,7.5,3.0,0.0
6.375,7.5,3.0,0.0
6.5,7.5,3.0,0.0
6.625,7.5,3.0,0.0
6.75,7.5,3.0,0.0
6.875,7.5,3.0,0.0
7.0,7.5,3.0,0.0
7.125,7.5,3.0,0.0
7.25,7.5,3.0,0.0
7.375,7.5,3.0,0.0
7.5,7.5,3.0,0.0
7.5,7.5,3.0,-0.15707963267948966
7.5,7.5,3.0,-0.3141592653589793
7.5,7.5,3.0,-0.47123889803846897
7.5,7.5,3.0,-0.6283185307179586
7.5,7.5,3.0,-0.7853981633974483
7.5,7.5,3.0,-0.9424777960769379
7.5,7.5,3.0,-1.0995574287564276
