x,y,z,yaw
2.5,-1.75,3.0,-1.5707963267948966
2.5,-1.875,3.0,-1.5707963267948966
2.5,-2.0,3.0,-1.5707963267948966
2.5,-2.125,3.0,-1.5707963267948966
2.5,-2.25,3.0,-1.5707963267948966
2.5,-2.375,3.0,-1.5707963267948966
2.5,-2.5,3.0,-1.5707963267948966
2.5,-2.5,3.0,-1.7278759594743862
2.5,-2.5,3.0,-1.8849555921538759
2.5,-2.5,3.0,-2.0420352248333655
2.5,-2.5,3.0,-2.199114857512855
2.5,-2.5,3.0,-2.356194490192345
2.5,-2.5,3.0,-2.5132741228718345
2.5,-2.5,3.0,-2.670353755551324
2.5,-2.5,3.0,-2.827433388230814
2.5,-2.5,3.0,-2.9845130209103035
2.5,-2.5,3.0,-3.141592653589793
2.375,-2.5,3.0,-3.141592653589793
2.25,-2.5,3.0,-3.141592653589793
2.125,-2.5,3.0,-3.141592653589793
2.0,-2.5,3.0,-3.141592653589793
1.875,-2.5,3.0,-3.141592653589793
1.75,-2.5,3.0,-3.141592653589793
1.625,-2.5,3.0,-3.141592653589793
1.5,-2.5,3.0,-3.141592653589793
1.375,-2.5,3.0,-3.141592653589793
1.25,-2.5,3.0,-3.141592653589793
1.125,-2.5,3.0,-3.141592653589793
1.0,-2.5,3.0,-3.141592653589793
0.875,-2.5,3.0,-3.141592653589793
0.75,-2.5,3.0,-3.141592653589793
0.625,-2.5,3.0,-3.141592653589793
0.5,-2.5,3.0,-3.141592653589793
0.375,-2.5,3.0,-3.141592653589793
0.25,-2.5,3.0,-3.141592653589793
0.125,-2.5,3.0,-3.141592653589793
0.0,-2.5,3.0,-3.141592653589793
-0.125,-2.5,3.0,-3.141592653589793
-0.25,-2.5,3.0,-3.141592653589793
-0.375,-2.5,3.0,-3.141592653589793
-0.5,-2.5,3.0,-3.141592653589793
-0.625,-2.5,3.0,-3.141592653589793
-0.75,-2.5,3.0,-3.141592653589793
-0.875,-2.5,3.0,-3.141592653589793
-1.0,-2.5,3.0,-3.141592653589793
-1.125,-2.5,3.0,-3.141592653589793
-1.25,-2.5,3.0,-3.141592653589793
-1.375,-2.5,3.0,-3.141592653589793
-1.5,-2.5,3.0,-3.141592653589793
-1.625,-2.5,3.0,-3.141592653589793
-1.75,-2.5,3.0,-3.141592653589793
-1.875,-2.5,3.0,-3.141592653589793
-2.0,-2.5,3.0,-3.141592653589793
-2.125,-2.5,3.0,-3.141592653589793
-2.25,-2.5,3.0,-3.141592653589793
-2.375,-2.5,3.0,-3.141592653589793
-2.5,-2.5,3.0,-3.141592653589793
-2.5,-2.5,3.0,2.9845130209103035
-2.5,-2.5,3.0,2.827433388230814
-2.5,-2.5,3.0,2.670353755551324
-2.5,-2.5,3.0,2.5132741228718345
