control	0
yaw_angle	1
cmd_type	0
pose_x	pose_y	pose_z	heading
10.000000	0.000000	0.000000	0.000000
10.000000	0.000000	3.011667	0.000000
10.157054	-0.002467	3.023333	0.031416
10.313953	-0.009866	3.035000	0.062832
10.470542	-0.022190	3.046667	0.094248
10.626666	-0.039426	3.058333	0.125664
10.782172	-0.061558	3.070000	0.157080
10.936907	-0.088564	3.081667	0.188496
11.090716	-0.120416	3.093333	0.219911
11.243449	-0.157084	3.105000	0.251327
11.394956	-0.198532	3.116667	0.282743
11.545085	-0.244717	3.128333	0.314159
11.693690	-0.295596	3.140000	0.345575
11.840623	-0.351118	3.151667	0.376991
11.985739	-0.411227	3.163333	0.408407
12.128896	-0.475865	3.175000	0.439823
12.269952	-0.544967	3.186667	0.471239
12.408768	-0.618467	3.198333	0.502655
12.545207	-0.696290	3.210000	0.534071
12.679134	-0.778360	3.221667	0.565487
12.810417	-0.864597	3.233333	0.596903
12.938926	-0.954915	3.245000	0.628319
13.064535	-1.049225	3.256667	0.659734
13.187120	-1.147434	3.268333	0.691150
13.306559	-1.249445	3.280000	0.722566
13.422736	-1.355157	3.291667	0.753982
13.535534	-1.464466	3.303333	0.785398
13.644843	-1.577264	3.315000	0.816814
13.750555	-1.693441	3.326667	0.848230
13.852566	-1.812880	3.338333	0.879646
13.950775	-1.935465	3.350000	0.911062
14.045085	-2.061074	3.361667	0.942478
14.135403	-2.189583	3.373333	0.973894
14.221640	-2.320866	3.385000	1.005310
14.303710	-2.454793	3.396667	1.036726
14.381533	-2.591232	3.408333	1.068142
14.455033	-2.730048	3.420000	1.099557
14.524135	-2.871104	3.431667	1.130973
14.588773	-3.014261	3.443333	1.162389
14.648882	-3.159377	3.455000	1.193805
14.704404	-3.306310	3.466667	1.225221
14.755283	-3.454915	3.478333	1.256637
14.801468	-3.605044	3.490000	1.288053
14.842916	-3.756551	3.501667	1.319469
14.879584	-3.909284	3.513333	1.350885
14.911436	-4.063093	3.525000	1.382301
14.938442	-4.217828	3.536667	1.413717
14.960574	-4.373334	3.548333	1.445133
14.977810	-4.529458	3.560000	1.476549
14.990134	-4.686047	3.571667	1.507964
14.997533	-4.842946	3.583333	1.539380
15.000000	-5.000000	3.595000	1.570796
14.997533	-5.157054	3.606667	1.602212
14.990134	-5.313953	3.618333	1.633628
14.977810	-5.470542	3.630000	1.665044
14.960574	-5.626666	3.641667	1.696460
14.938442	-5.782172	3.653333	1.727876
14.911436	-5.936907	3.665000	1.759292
14.879584	-6.090716	3.676667	1.790708
14.842916	-6.243449	3.688333	1.822124
