x,y,z,yaw
10.0,0.25,0,1.6964600329384882
10.0,0.25,3.0,1.6964600329384882
10.0,0.5,3.0,1.82212373908208
10.0,0.75,3.0,1.9477874452256716
10.0,1.0,3.0,2.0734511513692633
10.0,1.25,3.0,2.199114857512855
10.0,1.5,3.0,2.324778563656447
10.0,1.75,3.0,2.450442269800039
10.0,2.0,3.0,2.576105975943631
10.0,2.25,3.0,2.701769682087223
10.0,2.5,3.0,2.8274333882308147
10.0,2.75,3.0,2.9530970943744066
10.0,3.0,3.0,3.0787608005179985
10.0,3.25,3.0,-3.078760800517996
10.0,3.5,3.0,-2.953097094374404
10.0,3.75,3.0,-2.827433388230812
10.0,4.0,3.0,-2.70176968208722
10.0,4.25,3.0,-2.5761059759436282
10.0,4.5,3.0,-2.4504422698000363
10.0,4.75,3.0,-2.3247785636564444
10.0,5.0,3.0,-2.1991148575128525
10.0,5.25,3.0,-2.0734511513692606
10.0,5.5,3.0,-1.947787445225669
10.0,5.75,3.0,-1.8221237390820773
10.0,6.0,3.0,-1.6964600329384856
10.0,6.25,3.0,-1.570796326794894
10.0,6.5,3.0,-1.4451326206513022
10.0,6.75,3.0,-1.3194689145077105
10.0,7.0,3.0,-1.1938052083641189
10.0,7.25,3.0,-1.0681415022205272
10.0,7.5,3.0,-0.9424777960769355
10.0,7.75,3.0,-0.8168140899333438
10.0,8.0,3.0,-0.6911503837897521
10.0,8.25,3.0,-0.5654866776461605
10.0,8.5,3.0,-0.4398229715025687
10.0,8.75,3.0,-0.314159265358977
10.0,9.0,3.0,-0.18849555921538524
10.0,9.25,3.0,-0.06283185307179351
10.0,9.5,3.0,0.06283185307179823
10.0,9.75,3.0,0.18849555921538996
10.0,10.0,3.0,0.3141592653589817
10.0,10.0,3.058333333333333,0.43982297150257343
10.0,10.0,3.1166666666666663,0.5654866776461651
10.0,10.0,3.1749999999999994,0.6911503837897568
10.0,10.0,3.2333333333333325,0.8168140899333485
10.0,10.0,3.2916666666666656,0.9424777960769402
10.0,10.0,3.3499999999999988,1.0681415022205318
10.0,10.0,3.408333333333332,1.1938052083641235
10.0,10.0,3.466666666666665,1.3194689145077152
10.0,10.0,3.524999999999998,1.4451326206513069
10.0,10.0,3.5833333333333313,1.5707963267948986
9.75,10.0,3.5833333333333313,1.6964600329384902
9.5,10.0,3.5833333333333313,1.822123739082082
9.25,10.0,3.5833333333333313,1.9477874452256736
9.0,10.0,3.5833333333333313,2.0734511513692655
8.75,10.0,3.5833333333333313,2.1991148575128574
8.5,10.0,3.5833333333333313,2.3247785636564493
8.25,10.0,3.5833333333333313,2.450442269800041
8.0,10.0,3.5833333333333313,2.576105975943633
7.75,10.0,3.5833333333333313,2.701769682087225
7.5,10.0,3.5833333333333313,2.827433388230817
7.25,10.0,3.5833333333333313,2.953097094374409
7.0,10.0,3.5833333333333313,3.0787608005180007
6.75,10.0,3.5833333333333313,-3.0787608005179936
6.5,10.0,3.5833333333333313,-2.9530970943744017
6.25,10.0,3.5833333333333313,-2.82743338823081
6.0,10.0,3.5833333333333313,-2.701769682087218
5.75,10.0,3.5833333333333313,-2.576105975943626
5.5,10.0,3.5833333333333313,-2.450442269800034
5.25,10.0,3.5833333333333313,-2.324778563656442
5.0,10.0,3.5833333333333313,-2.1991148575128503
4.75,10.0,3.5833333333333313,-2.0734511513692584
4.5,10.0,3.5833333333333313,-1.9477874452256667
4.25,10.0,3.5833333333333313,-1.822123739082075
4.0,10.0,3.5833333333333313,-1.6964600329384834
3.75,10.0,3.5833333333333313,-1.5707963267948917
3.5,10.0,3.5833333333333313,-1.4451326206513
3.25,10.0,3.5833333333333313,-1.3194689145077083
3.0,10.0,3.5833333333333313,-1.1938052083641166
2.75,10.0,3.5833333333333313,-1.068141502220525
2.5,10.0,3.5833333333333313,-0.9424777960769333
2.25,10.0,3.5833333333333313,-0.8168140899333416
2.0,10.0,3.5833333333333313,-0.6911503837897499
1.75,10.0,3.5833333333333313,-0.5654866776461582
1.5,10.0,3.5833333333333313,-0.4398229715025665
1.25,10.0,3.5833333333333313,-0.31415926535897476
1.0,10.0,3.5833333333333313,-0.18849555921538302
0.75,10.0,3.5833333333333313,-0.06283185307179129
0.5,10.0,3.5833333333333313,0.06283185307180045
0.25,10.0,3.5833333333333313,0.18849555921539218
