control	0
yaw_angle	1
cmd_type	0
pose_x	pose_y	pose_z	heading
0.000000	-2.000000	0.000000	1.570796
0.000000	-2.000000	3.000000	1.570796
-0.062822	-1.999013	3.000000	1.539380
-0.125581	-1.996053	3.000000	1.507964
-0.188217	-1.991124	3.000000	1.476549
-0.250666	-1.984229	3.000000	1.445133
-0.312869	-1.975377	3.000000	1.413717
-0.374763	-1.964575	3.000000	1.382301
-0.436286	-1.951834	3.000000	1.350885
-0.497380	-1.937166	3.000000	1.319469
-0.557982	-1.920587	3.000000	1.288053
-0.618034	-1.902113	3.000000	1.256637
-0.677476	-1.881762	3.000000	1.225221
-0.736249	-1.859553	3.000000	1.193805
-0.794296	-1.835509	3.000000	1.162389
-0.851559	-1.809654	3.000000	1.130973
-0.907981	-1.782013	3.000000	1.099557
-0.963507	-1.752613	3.000000	1.068142
-1.018083	-1.721484	3.000000	1.036726
-1.071654	-1.688656	3.000000	1.005310
-1.124167	-1.654161	3.000000	0.973894
-1.175571	-1.618034	3.000000	0.942478
-1.225814	-1.580310	3.000000	0.911062
-1.274848	-1.541026	3.000000	0.879646
-1.322624	-1.500222	3.000000	0.848230
-1.369094	-1.457937	3.000000	0.816814
-1.414214	-1.414214	3.000000	0.785398
-1.457937	-1.369094	3.000000	0.753982
-1.500222	-1.322624	3.000000	0.722566
-1.541026	-1.274848	3.000000	0.691150
-1.580310	-1.225814	3.000000	0.659734
-1.618034	-1.175571	3.000000	0.628319
-1.654161	-1.124167	3.000000	0.596903
-1.688656	-1.071654	3.000000	0.565487
-1.721484	-1.018083	3.000000	0.534071
-1.752613	-0.963507	3.000000	0.502655
-1.782013	-0.907981	3.000000	0.471239
-1.809654	-0.851559	3.000000	0.439823
-1.835509	-0.794296	3.000000	0.408407
-1.859553	-0.736249	3.000000	0.376991
-1.881762	-0.677476	3.000000	0.345575
-1.902113	-0.618034	3.000000	0.314159
-1.920587	-0.557982	3.000000	0.282743
-1.937166	-0.497380	3.000000	0.251327
-1.951834	-0.436286	3.000000	0.219911
-1.964575	-0.374763	3.000000	0.188496
-1.975377	-0.312869	3.000000	0.157080
-1.984229	-0.250666	3.000000	0.125664
-1.991124	-0.188217	3.000000	0.094248
-1.996053	-0.125581	3.000000	0.062832
-1.999013	-0.062822	3.000000	0.031416
-2.000000	0.000000	3.000000	-0.000000
-1.999013	0.062822	3.000000	-0.031416
-1.996053	0.125581	3.000000	-0.062832
-1.991124	0.188217	3.000000	-0.094248
-1.984229	0.250666	3.000000	-0.125664
-1.975377	0.312869	3.000000	-0.157080
-1.964575	0.374763	3.000000	-0.188496
-1.951834	0.436286	3.000000	-0.219911
-1.937166	0.497380	3.000000	-0.251327
-1.920587	0.557982	3.000000	-0.282743
-1.902113	0.618034	3.000000	-0.314159
-1.881762	0.677476	3.000000	-0.345575
-1.859553	0.736249	3.000000	-0.376991
-1.835509	0.794296	3.000000	-0.408407
-1.809654	0.851559	3.000000	-0.439823
-1.782013	0.907981	3.000000	-0.471239
-1.752613	0.963507	3.000000	-0.502655
-1.721484	1.018083	3.000000	-0.534071
-1.688656	1.071654	3.000000	-0.565487
-1.654161	1.124167	3.000000	-0.596903
-1.618034	1.175571	3.000000	-0.628319
-1.580310	1.225814	3.000000	-0.659734
-1.541026	1.274848	3.000000	-0.691150
-1.500222	1.322624	3.000000	-0.722566
-1.457937	1.369094	3.000000	-0.753982
-1.414214	1.414214	3.000000	-0.785398
-1.369094	1.457937	3.000000	-0.816814
-1.322624	1.500222	3.000000	-0.848230
-1.274848	1.541026	3.000000	-0.879646
-1.225814	1.580310	3.000000	-0.911062
-1.175571	1.618034	3.000000	-0.942478
-1.124167	1.654161	3.000000	-0.973894
-1.071654	1.688656	3.000000	-1.005310
-1.018083	1.721484	3.000000	-1.036726
-0.963507	1.752613	3.000000	-1.068142
-0.907981	1.782013	3.000000	-1.099557
-0.851559	1.809654	3.000000	-1.130973
-0.794296	1.835509	3.000000	-1.162389
-0.736249	1.859553	3.000000	-1.193805
